novel_author,novel_introduction,novel_name,novel_redu,novel_shoucang,novel_startdate,novel_status,novel_tag,novel_updatedate,novel_url,novel_zishu
賢人,"名为奥尼的创世神创造了这个世界，为了管理庞大的世界，祂创造出了大天使，珀魂来帮忙。,
大天使珀魂有着近乎与奥尼相等的全能力量，但却按奈不住心中的野心，企图征服整个世界。珀魂带领同样有意颠覆奥尼政权的小天使们对奥尼发动战争。,
战争的余波震动出了时间，战争的爆破炸出了空间。,
炮弹的火花形成了太阳和星星，扬起的尘沙变成了星球。,
奥尼和珀魂之间的战争形成了现有的宇宙，如今破坏还在不断扩张之中。世界存在的本身，就是这场圣战的证据。,
奥尼最终成功打败了珀魂，把珀魂的肉体打入名为魔界的地狱成为魔王，并将珀魂的力量封印到了大陆中心。,
封印了魔王之力的石头。因此，被世人称为封魔石。,
然而，珀魂那近乎可以与创世之力匹敌的力量，当然不可能毫不反抗地就此罢休。每隔一千两百年，里头的力量就与封印之力发生冲突，成为封印之力最弱的时候。,
珀魂的力量，可以造神。因此，又被世人称为造神之石。,
封魔石和造神石，所指的都是同样的石头。,
据传在封印最弱的那一年中，一对有着共同目标的二个生物组合，若能在同时触碰造神石，该组合将能掌握处置这股力量的决定权，成为神或封印它。,
因此，当全世界众生为了争夺这股力量而进行的战斗就被称为了封魔造神之争。,
,
来自全世界有着怪异能力恐怖的生物们都在蠢蠢欲动中……,
,
对创世之力的贪念、妄想、占有欲，本书是在描述着这丑陋战争的故事。,
,
.,
.,
.,
才怪，我只是想要把一群很有趣和很特别的疯狂角色丢在一起，然后看他们打架，所以就写出来了，纯粹这样而已。",封魔造神之争,3.4万,34,2018-07-27 11:18,"
                        ,
                            连载中                    ",战斗|异界|超能力|2018轻之文库创想物语大赏1st,2小时前,http://www.linovel.net/book/104858.html,3.8万
kkkiii,"“欢迎光临！什么，灵异事件？寻找失物？恐吓信件？没问题，交给我们吧！”,
穿越在历史的时光中解决各种“疑难杂症”，就是我们笔娘侦探社的宗旨！,
,
能和一切活着的东西对话的胆小女子高中生社长，祖传的拥有穿越时空能力又阅历丰富的话唠笔娘接待，堪比人肉窃听器的四肢发达却特别情绪化的保镖，还有一个体弱多病却又堪称世界级计算机顶尖高手的幕后智多星。,
“不论您在哪年哪月哪个地点，我们一定会帮您解决问题的！不灵不要钱哦！”,
,
轻推理。,
,
基本日更（至少5/7），2k左右一章。,
",笔娘侦探社,<1万,0,18小时前,"
                        ,
                            连载中                    ",校园|超能力|悬疑|2018轻之文库创想物语大赏1st,2小时前,http://www.linovel.net/book/105632.html,7260
永安夜光,"一人一狗的胡闹永无终结之日,
,
如果，觉得本书前面比较无聊（落后4、5年的剧情），大概了解人物关系后，请跳到第六卷噩耗章节。",机智的女王才不是平胸,29.9万,337,2018-07-23 09:45,"
                        ,
                            连载中                    ",战斗|日常|同人,2小时前,http://www.linovel.net/book/104787.html,29.4万
岚凌,"“战争，战争永远不会停止。”,
989年，坐落于亚洲大陆东北部的新兴国家“华纳共和国”，被西部国土接壤的“恩姆斯帝国”大举出兵入侵，共和国为了应对不断扩大的败局，在长达十五年的战争中采取了一系列极端手段，成功扭转战局，与“恩姆斯帝国”达成长达六十年的“停战协定”。,
然而，这场突如其来的战争给“华纳共和国”带来的真正灾难，却从未因战争的停止而停止——战后第五年，随着一名来神秘“零号部队”部队的少女出现，“战争遗留问题调查调停处”再度步入了这场本该结束的战争。,
这是一场发生在战后的战争，这是一场从未停止过的战争。",Number：zero,30.6万,392,2018-07-21 01:05,"
                        ,
                            连载中                    ",幻想|战斗|科幻|2018轻之文库创想物语大赏1st,7小时前,http://www.linovel.net/book/104714.html,6.7万
Adamaxes,永远的七日之都同人主线 简介：那曾经被世人所遗忘的“第三方”，或许会为这个错误的世界带来变革吧。,赛哈姆主线：佣兵的抉择,5.3万,35,2018-08-18 03:20,"
                        ,
                            连载中                    ",战斗|科幻|超能力|永远的7日之都,7小时前,http://www.linovel.net/book/105324.html,3.4万
柠檬苏打水,"一通诡异的入职来电迫使林奇来到了一处名为爱丽丝圆梦俱乐部老宅。,
被同名爱丽丝的女人怂恿成为了俱乐部的老板，林奇恍然发现自己好像接手了一个了不得的地方。,
——因为这里的商品，从不曾流通在世面之上……,
“命运这种玩意儿真的能卖出去？”,
“当然，只要客人们付得起对应的‘价钱’。”",爱丽丝圆梦俱乐部,8.6万,88,2018-08-04 16:01,"
                        ,
                            连载中                    ",治愈|悬疑|2018轻之文库创想物语大赏1st,7小时前,http://www.linovel.net/book/104981.html,11.2万
皮皮柚,"选择了和濑由衣在一起的道路。,
无论何时，无论何地，只要有你。,
我真正的挚爱。,
（濑由衣专属剧情）,
（分为两个篇幅，第一个轻小说模式，第二个游戏具体攻略模式）",永七·真正的挚爱,2.1万,12,2018-08-11 23:34,"
                        ,
                            连载中                    ",恋爱|同人|永远的7日之都,6小时前,http://www.linovel.net/book/105186.html,1万
灯雨黄昏,"这是VR游戏和人工智能盛行的时代。,
普通大学生的我终于有了人生中第一个女朋友！,
虽然是虚拟现实恋爱游戏中的人工智能，自此我的生活天翻地覆……,
虚拟二次元“老婆”和现实同居的“女友”之间的修罗场？拥有自我意识的人工智能？,
我的虚拟和现实似乎哪里不对……",我的便携式游戏女友,748.9万,6298,2017-04-17 17:16,"
                        ,
                            连载中                    ",恋爱|后宫|科幻|治愈|悬疑,6小时前,http://www.linovel.net/book/101752.html,39.6万
弃武莫悲,"这个组织内部将最顶尖的刺客称为“敛容师”，,
他们手中的作品贯穿了生死的边界，是亡者最后的礼赞。,
敛容师陆吾不想拯救世界，只想和他爱看类似《X兽》动画片的妹妹咸鱼度日，,
但在一次刺杀行动后，他却成为了组织的弃子，还被一场超能战争卷入其中……,
在那之后，超越人类的灵能者、诡谲神秘的界外避难所、绵延千年的三族大战……,
隐藏在世界阴影中的秘密一一浮出水面，随之而来的是危机的狂潮。,
面对这些，陆吾只有一句话：,
“以杀戮迎接杀戮，将冷酷奉还冷酷。”",界外圣徒,4.3万,57,2018-08-20 21:17,"
                        ,
                            连载中                    ",战斗|科幻|超能力|2018轻之文库创想物语大赏1st,6小时前,http://www.linovel.net/book/105371.html,5.6万
杉田君的猫,"乙女向手游《恋与制作人》同人文，本篇主线为周棋洛线，讲述的是“我”作为该游戏的玩家，有一天穿越到身处恋语市的女主“悠然”身上，发生的一系列故事。,
本文在游戏原剧情基础上有女主性格设定改动，为了最大程度让原本的世界观和男主的人设保持原作的样子，所以剧情大致走向无改动，但是剧情细节有大量改动和扩写、重写，改动的部分约占本篇文章四分之三篇幅。",恋与制作人之棋洛无悔,17.7万,186,2018-08-19 04:29,"
                        ,
                            连载中                    ",恋爱|超能力|乙女,6小时前,http://www.linovel.net/book/105337.html,9.8万
